 11  6  766
   1     279.0     449.0        1251         511       .30
   2     108.0     221.0   51  102    0   51       .20
   3     423.0      64.0   78  156    0   78       .19
   4      38.0     152.0   12   24    0   12       .24
   5     339.0     128.0   10   20    0   10       .22
   6      78.0     320.0  150  225    0   75       .40
   7     319.0     306.0   69  138    0   69       .45
   8      23.0     440.0   19   38    0   19       .16
   9     206.0     151.0  110  165    0   55       .17
  10     243.0     453.0  198  297    0   99       .26
  11     249.0      67.0   43   86    0   43       .24
