 41  3  3283
   1     238.0     214.0        5553        2189       .03
   2     326.0     403.0   42   63    0   21       .05
   3      23.0     147.0   74  111    0   37       .04
   4     443.0      68.0   66   99    0   33       .04
   5      43.0      98.0   48   96    0   48       .05
   6     381.0     213.0   74  111    0   37       .03
   7     491.0     263.0  188  282    0   94       .03
   8     328.0     304.0   61  122    0   61       .02
   9     497.0     280.0   78  156    0   78       .03
  10      94.0     255.0  174  261    0   87       .01
  11     265.0     220.0   21   42    0   21       .03
  12     199.0     287.0   96  192    0   96       .03
  13     366.0     315.0   63  126    0   63       .05
  14     189.0     496.0   28   42    0   14       .01
  15     181.0     212.0  108  162    0   54       .03
  16     122.0     307.0  138  207    0   69       .05
  17      39.0     183.0  106  159    0   53       .02
  18     230.0     351.0   61  122    0   61       .02
  19      59.0     331.0   68  102    0   34       .03
  20      18.0     342.0   95  190    0   95       .01
  21     308.0     222.0   59  118    0   59       .03
  22     174.0     249.0   51  102    0   51       .03
  23     305.0     131.0   88  132    0   44       .04
  24      74.0     127.0   68  102    0   34       .05
  25      36.0     473.0  110  165    0   55       .03
  26     495.0     281.0  168  252    0   84       .04
  27      16.0     327.0   44   66    0   22       .04
  28     477.0     460.0   26   52    0   26       .03
  29     330.0     416.0   11   22    0   11       .03
  30     224.0     390.0   57  114    0   57       .01
  31     318.0     496.0  140  210    0   70       .02
  32     361.0     288.0   88  176    0   88       .04
  33     372.0     439.0   58  116    0   58       .04
  34     130.0     400.0  196  294    0   98       .03
  35     396.0     268.0   52   78    0   26       .01
  36     191.0     324.0   76  152    0   76       .04
  37     220.0      46.0  140  210    0   70       .05
  38     456.0     217.0   30   45    0   15       .04
  39     364.0     146.0   65  130    0   65       .04
  40     118.0     339.0  132  198    0   66       .05
  41      44.0      48.0  116  174    0   58       .03
