 41  3  2745
   1     317.0     285.0        4631        1830       .03
   2     269.0      37.0  108  162    0   54       .02
   3     364.0     196.0   16   32    0   16       .02
   4      90.0     257.0   71  142    0   71       .02
   5     224.0     298.0  180  270    0   90       .02
   6       8.0     117.0   47   94    0   47       .04
   7     489.0     350.0   32   64    0   32       .05
   8     271.0     239.0   96  144    0   48       .02
   9     163.0      41.0   71  142    0   71       .02
  10     126.0       6.0  106  159    0   53       .03
  11      20.0     126.0   85  170    0   85       .02
  12     265.0     216.0  130  195    0   65       .04
  13     322.0     254.0   42   63    0   21       .02
  14     419.0     494.0   46   92    0   46       .03
  15     241.0     450.0   78  117    0   39       .02
  16     330.0     243.0   29   58    0   29       .02
  17     386.0     411.0  196  294    0   98       .04
  18     307.0     302.0   18   36    0   18       .02
  19     246.0     108.0   42   84    0   42       .02
  20     358.0     122.0   34   68    0   34       .04
  21     244.0     463.0   15   30    0   15       .04
  22      66.0     166.0  128  192    0   64       .03
  23      74.0     175.0   52   78    0   26       .03
  24     433.0     336.0   42   84    0   42       .02
  25      48.0     297.0   20   30    0   10       .04
  26     161.0      42.0   98  147    0   49       .01
  27     188.0     270.0  172  258    0   86       .04
  28     469.0     280.0   62   93    0   31       .02
  29     107.0     221.0   22   33    0   11       .04
  30     465.0      20.0   73  146    0   73       .01
  31      91.0     495.0   31   62    0   31       .03
  32     314.0     384.0   54  108    0   54       .03
  33     496.0      85.0   28   42    0   14       .03
  34     340.0      34.0   37   74    0   37       .05
  35     195.0      25.0  122  183    0   61       .03
  36     255.0     432.0  196  294    0   98       .02
  37     294.0      61.0   60  120    0   60       .02
  38     108.0     456.0   17   34    0   17       .02
  39     319.0      28.0  106  159    0   53       .04
  40     491.0     286.0   25   50    0   25       .03
  41      59.0      65.0   14   28    0   14       .05
